keys,freq,word1,word2
"""tab to""",15,tab,to
"""ek news""",15,ek,news
"""aap is""",15,aap,is
"""ka best""",15,ka,best
"""kashmiri muslims""",15,kashmiri,muslims
"""ke episode""",15,ke,episode
"""hai at""",15,hai,at
"""fir se""",15,fir,se
"""pakistani agent""",15,pakistani,agent
"""aur pakistani""",15,aur,pakistani
"""tum logoun""",15,tum,logoun
"""do not""",15,do,not
"""se hi""",15,se,hi
"""din to""",15,din,to
"""ek do""",15,ek,do
"""ne wish""",15,ne,wish
"""jo last""",15,jo,last
"""sab sy""",15,sab,sy
"""ka career""",15,ka,career
"""is it""",15,is,it
"""ni hy""",15,ni,hy
"""hai army""",15,hai,army
"""kis ny""",15,kis,ny
"""india army""",14,india,army
"""hoty to""",14,hoty,to
"""bol k""",14,bol,k
"""i salute""",14,i,salute
"""meri family""",14,meri,family
"""hai what""",14,hai,what
"""hote or""",14,hote,or
"""to mere""",14,to,mere
"""modi ke""",14,modi,ke
"""india m""",14,india,m
"""aya to""",14,aya,to
"""or agr""",14,or,agr
"""log bus""",14,log,bus
"""ke map""",14,ke,map
"""ki mansikta""",14,ki,mansikta
"""ek word""",14,ek,word
"""hein or""",14,hein,or
"""ko follow""",14,ko,follow
"""s a""",14,s,a
"""h ye""",14,h,ye
"""ki dead""",14,ki,dead
"""pakar k""",14,pakar,k
"""par pm""",14,par,pm
"""ko daikh""",14,ko,daikh
"""tum congress""",14,tum,congress
"""khan or""",14,khan,or
"""ki planning""",14,ki,planning
"""ko respect""",14,ko,respect
"""hai economy""",14,hai,economy
"""aise he""",14,aise,he
"""to sb""",14,to,sb
"""ka promotion""",14,ka,promotion
"""de skte""",14,de,skte
"""ne b""",14,ne,b
"""nhi skte""",14,nhi,skte
"""ki property""",14,ki,property
"""me bomb""",14,me,bomb
"""kehty thy""",14,kehty,thy
"""ki movies""",14,ki,movies
"""ka chairman""",14,ka,chairman
"""ko happy""",14,ko,happy
"""ki spelling""",14,ki,spelling
"""khan and""",14,khan,and
"""ka v""",14,ka,v
"""ja rahy""",14,ja,rahy
"""ye army""",14,ye,army
"""he he""",14,he,he
"""agar indian""",14,agar,indian
"""ki ideology""",14,ki,ideology
"""hai indians""",14,hai,indians
"""hum muslims""",14,hum,muslims
"""hai via""",14,hai,via
"""bhi hy""",14,bhi,hy
"""we r""",14,we,r
"""ek reply""",14,ek,reply
"""h congress""",14,h,congress
"""pura speech""",14,pura,speech
"""am sure""",14,am,sure
"""go to""",14,go,to
"""hain and""",14,hain,and
"""se article""",14,se,article
"""bat to""",14,bat,to
"""birthday to""",14,birthday,to
