keys,word1,word2,Tweets
"""no words""",no,words,"hey, there's nothing i really need, and there are no words left to exchange. but still, if i could just have been with you a little longer."
"""no words""",no,words,i have no words 
"""no words""",no,words,no words. 
"""no words""",no,words,happy birthday to my california kiz sebaciğim   i'm usually a talking machine but there no words that can express how much i'm glad that you are in my life and i can only wish you eternal happiness!  i can't wait for the day i'll be calling you dr.seba
"""no words""",no,words,"seungyeonnie  i have no words to describe, but hopefully our presence could satisfy highs’ longings.  "
"""no words""",no,words, no words to express your beauty. 
"""no words""",no,words,"no words, just... "
"""no words""",no,words, oh wow ! this is so ! i have no words for it i feel this so much especially the part about the lesser pain cause. yes native language makes me feel more. cut open more vulnerable. thabk you so much for your words this is v. incredible 
"""no words""",no,words,so very sorry. no words but virtual hug 
"""no words""",no,words,  hehehe...i can't even say what i look like in high heels ... there are no words to name it another thing where jinyoung is walking    perfection !   # # #จินยอง #    #
"""no words""",no,words, that is unbelievable terribly tragic. i have no words. 
"""no words""",no,words,    there is no words you can find in the thesaurus that will make a totalitarian government look good.
"""no words""",no,words, no words maura🤬
"""no words""",no,words, there are no words anyone can say to you zoe. i cant even begin to imagine what you are dealing with. you are an amazingly strong and determined person. warmest wishes 
"""no words""",no,words,and bwv1d.... i've no words to those people who still suppothem. 
"""no words""",no,words,  wow i have no words 
"""no words""",no,words,no words can explain the beauty. 
"""no words""",no,words,got no words about phase 2
"""no words""",no,words," even though karim missed some chances created by cristiano, he made up for it in helping him score tons of goals. and as for, morata and dybala, i have no words."
"""no words""",no,words, and i have no words to thank you
"""no words""",no,words,when there are no words to soften your sadness  may your spirit be touched by the love  that surrounds you
"""no words""",no,words,fking no words…
"""no words""",no,words, no words….i’m sorry 
"""no words""",no,words, well i have no words it is
"""no words""",no,words, oh my gods. there are no words that can accurately convey how in awe i am at this! shea this is amazing! 
"""no words""",no,words,  no words mate u are god stream pack designer fs 🤩🤩🤩
"""no words""",no,words,simply no words can explain my frustration with this world. 
"""no words""",no,words, there are no words.
"""no words""",no,words, yes... you feel everything ... and you know everything ... no words are needed here ... 
"""no words""",no,words, oh frank. no words. x
"""no words""",no,words,i love him sm no words can express it 
"""no words""",no,words,bruh i finished odd taxi and??? holy fucking shit   i have no words.... i am so upset i ignored this anime the last season but holy fuck......
"""no words""",no,words,41….. all while i was asleep….. no words 
"""no words""",no,words,no words needed. 🤨 
"""no words""",no,words,no words.......... 
"""no words""",no,words,no words are amazing enough to describe how fantastic you are      #มาโยของอัพ  #เก้าอัพ #กั๊พอ้าว   
"""no words""",no,words,no words needed  
"""no words""",no,words,"no words, head full of ayaka 🥺"
"""no words""",no,words, ah man it is really something twitter needs rn. a few months ago there was a leak that twitter may bring a feature would allow you to delete a tweet within a fixed amount of time before it goes. no words after that   
"""no words""",no,words,jesse just told you no mood and it just you blocked me so just cant write here everything eee what do you care just no words be safe just to me it could be only you but you see everything only not us as you want just must try to understand that wasnt important to you and it
"""no words""",no,words," no words, just rage."
"""no words""",no,words,happy birthday to my dearest kaka truly i have no words for you but you have always guided me for my best always keep your blessings on us... tawde family is proud of you...    
"""no words""",no,words,people cry because no words can express their feelings.
"""no words""",no,words,no words... 
"""no words""",no,words,           i have no words for this…. 
"""no words""",no,words,there are no words to describe whag i feel when i see him 
"""no words""",no,words,...... no words... 
"""no words""",no,words,their reaction about their kiss scene hahjhjgja no words 
"""no words""",no,words,it was literally....  the italians biggest plause..  how fucking dare anyone tbh  ... no words really
"""no words""",no,words,i have no words
"""no words""",no,words,omg chloe and toby in the hideaway i literally have no words 
